자치구명,시설 구분,주소,시설형태
광진구,호텔더디자이너스프리미어건대,서울특별시 광진구 동일로 172,개방형
광진구,세종대학교,능동로 210,개방형
광진구,세종대학교,능동로 211,개방형
광진구,세종대학교,능동로 212,개방형
광진구,세종대학교,능동로 213,개방형
광진구,세종대학교,능동로 214,개방형
광진구,세종대학교,능동로 215,개방형
광진구,세종대학교,능동로 216,개방형
광진구,건국대학교,1 행정관 뒤(사범대학방향 계단옆),개방형
광진구,국립정신건강센터,서울특별시 광진구 용마산로 127,개방형
광진구,호텔더디자이너스프리미어건대,서울특별시 광진구 동일로 173,개방형
광진구,건국대학교,9 상허기념도서관 동측,개방형
광진구,세종대학교,능동로 209,개방형
광진구,건국대학교,11 생명과학관 뒤,개방형
광진구,건국대학교,14 산학협동관 주차장,개방형
광진구,건국대학교,15 수의학관 주차장,개방형
광진구,서울프라임병원,"서울특별시 광진구 동일로 92-1, B1~2, 3~7층 (자양동)",개방형
광진구,건국대학교,"17 건축관 앞, 18해봉부동산확과 뒤",개방형
광진구,건국대학교,19 인문학관,개방형
광진구,경희생생한방병원,"서울특별시 광진구 동일로 82-1, 생생한방병원 지하1~5층 (자양동)",개방형
광진구,건국대학교,21 공학관 C동 뒤,개방형
광진구,건국대학교,황소상공원 앞(검정),개방형
광진구,건국대학교,23 신공학관 앞,개방형
광진구,건국대학교,황소상공원 앞(검정),개방형
광진구,건국대학교,26 쿨하우스 뒤,개방형
광진구,건국대학교,8 법학관 앞,개방형
광진구,건국대학교,황소상공원 앞(누렁),개방형
광진구,건국대학교,황소상공원 앞(검정),개방형
광진구,뚝섬 수난구조대,광진구 강변북로 26,개방형
광진구,롯데백화점 건대스타시티점,능동로 92(자양동)(지하6~지상10),개방형
광진구,광진소방서,광진구 광나루로 480,개방형
광진구,광진소방서,광진구 광나루로 481,개방형
광진구,광진우편집중국,광진구 자양로 76,개방형
광진구,광진우편집중국,광진구 자양로 77,개방형
광진구,광진우편집중국,광진구 자양로 78,개방형
광진구,광진우편집중국,광진구 자양로 79,개방형
광진구,광진우편집중국,광진구 자양로 80,개방형
광진구,광진우편집중국,광진구 자양로 81,개방형
광진구,광진우편집중국,광진구 자양로 82,개방형
광진구,광진우체국, 광진구 구의동 587,개방형
광진구,이마트 자양점,아차산로 272(자양동)(지하 1층),개방형
광진구,광진구청 , 광진구 자양1동777,개방형
광진구,광진구청 , 광진구 자양1동779,개방형
광진구,화양동 주민자치센터, 광진구 화양동 132-68,개방형
광진구,서울시 물연구원,광진구 천호대로 716-10,개방형
광진구,서울시 물연구원,광진구 천호대로 716-11,개방형
광진구,서울시 물연구원,광진구 천호대로 716-12,개방형
광진구,서울시 물연구원,광진구 천호대로 716-13,개방형
광진구,화양지구대,능동로17길39,개방형
광진구,광나루지구대,아차산로 567,개방형
광진구,능동119안전센터,능동로242,개방형
광진구,구의119안전센터,광나루로480,개방형
광진구,구의120안전센터,광나루로481,개방형
광진구,광진구청 , 광진구 자양1동778,개방형
광진구,세종대학교 대양홀,능동로 209,완전 개방형
광진구,유니버설아트센터,천호대로 664,완전 폐쇄형
광진구,테크노마트25,광나루로56길  85(구의동)(지하1~지상13),완전개방
광진구,테크노마트24,광나루로56길  85(구의동)(지하1~지상12),완전개방
광진구,보건복지행정타운,서울 광진구 용마산로 127,완전개방
광진구,테크노마트23,광나루로56길  85(구의동)(지하1~지상11),완전개방
광진구,테크노마트22,광나루로56길  85(구의동)(지하1~지상10),완전개방
광진구,테크노마트21,광나루로56길  85(구의동)(지하1~지상9),완전개방
광진구,송림식당,"서울특별시 광진구 자양번영로 77 (자양동,,137,138,139,141)",완전개방형
광진구,중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),완전개방형
광진구,신선설농탕,"서울특별시 광진구 천호대로 813 (광장동,7,8,9 호 1F)",완전개방형
광진구,백년회관서서갈비아차산점,"서울특별시 광진구 천호대로 659, 2층 (구의동)",완전개방형
광진구,짬뽕지존 아차산점,서울특별시 광진구 천호대로 682 (구의동),완전개방형
광진구,마당족발,광진구 능동로 173,완전개방형
광진구,명륜진사갈비중곡점,"서울특별시 광진구 용마산로 110, 토끼빌딩 1층 (중곡동)",완전개방형
광진구,망향비빔국수,"서울특별시 광진구 천호대로 694 (구의동,(1층))",완전개방형
광진구,삼일민물장어,"서울특별시 광진구 천호대로 685, 1,2층 (구의동)",완전개방형
광진구,아차산할아버지손두부,"서울특별시 광진구 자양로 324, 약수목욕탕 1층 (구의동)",완전개방형
광진구,퀸당구장,서울특별시 광진구 아차산로 610 (광장동),완전개방형
광진구,필 빌리어드 클럽,"서울특별시 광진구 용마산로 16, 창성빌딩 4층 (중곡동)",완전개방형
광진구,더이퀼리브리엄커피,"서울특별시 광진구 아차산로30길 7, 3층 (자양동)",완전개방형
광진구,명륜진사갈비아차산역점,"서울특별시 광진구 능동로36길 187, 공원갈비 1~2층 (능동)",완전개방형
광진구,제주탐하리,"서울특별시 광진구 천호대로101길 11 (중곡동,(1층))",완전개방형
광진구,허니룸 건대,"서울특별시 광진구 아차산로29길 7, 3,4층 (화양동)",완전개방형
광진구,현 당구클럽,"서울특별시 광진구 용마산로 28, 2층 (중곡동)",완전개방형
광진구,프라임당구클럽,"서울특별시 광진구 천호대로 677 (구의동, 세진빌딩)",완전폐쇄형
광진구,Y·N 스크린골프클럽,"서울특별시 광진구 아차산로 444, 지하1층 (구의동)",완전폐쇄형
광진구,골프앤,"서울특별시 광진구 구의강변로 45, 4층 (구의동, 구의동 복합빌딩)",완전폐쇄형
광진구,쉐르빌골프존,"서울특별시 광진구 구의강변로 106, 101동 지층 115-118호 (구의동, 구의동삼성쉐르빌)",완전폐쇄형
광진구,자양CAROM,"서울특별시 광진구 자양로 88, 광영빌딩 6층 (자양동)",완전폐쇄형
광진구,테크노당구장,"서울특별시 광진구 광나루로56길 63 (구의동, 지하1층 101호,102호,103호)",완전폐쇄형
광진구,로얄당구장,"서울특별시 광진구 구의강변로 35, 삼진빌딩 지하1층 (구의동)",완전폐쇄형
광진구,플러스 당구 클럽,"서울특별시 광진구 아차산로 473, 5층 (구의동)",완전폐쇄형
광진구,Carom Cafe,"서울특별시 광진구 아차산로 444, 지층 103호 (구의동, 와이엔 오피스텔)",완전폐쇄형
광진구,이큐당구클럽,"서울특별시 광진구 능동로 91, 지층 (자양동)",완전폐쇄형
광진구,일번지 당구장,"서울특별시 광진구 구의로 70 (구의동, 영덕빌딩 2층 201호)",완전폐쇄형
광진구,별당구클럽,서울특별시 광진구 자양로13길 73-1 (자양동),완전폐쇄형
광진구,강변 당구장,"서울특별시 광진구 강변역로4길 10, 강변역지너스타워 지하1층 9,10호 (구의동)",완전폐쇄형
광진구,나인 당구장,"서울특별시 광진구 면목로 191, 2층 (중곡동)",완전폐쇄형
광진구,닉스당구장,"서울특별시 광진구 뚝섬로 621, 3층 (자양동)",완전폐쇄형
광진구,미소당구장,서울특별시 광진구 뚝섬로 627 (자양동),완전폐쇄형
광진구,공감 당구장,서울특별시 광진구 아차산로 291 (자양동),완전폐쇄형
광진구,스포츠 당구장,"서울특별시 광진구 아차산로 358, 지하1층 (자양동)",완전폐쇄형
광진구,우리 당구장,"서울특별시 광진구 자양로11길 12, 지층 (자양동)",완전폐쇄형
광진구,아차산스크린(스크린 5타석),"서울특별시 광진구 천호대로 676, 지하1층 (구의동)",완전폐쇄형
광진구,조이클럽,"서울특별시 광진구 자양로15길 46, 지층 (자양동)",완전폐쇄형
광진구,행운 당구장,"서울특별시 광진구 자양로13길 48, 지하층 (자양동)",완전폐쇄형
광진구,웰플러스 짐 골프연습장,"서울특별시 광진구 자양로5길 33, 지하1층 (자양동, 와이엠프라젠스파)",완전폐쇄형
광진구,코알라당구장,"서울특별시 광진구 뚝섬로 498 (자양동, 서울클리닉빌딩)",완전폐쇄형
광진구,마스터스골프클럽(19타석),"서울특별시 광진구 능동로 49, 지층 (자양동, 영지빌딩)",완전폐쇄형
광진구,석고당구장,서울특별시 광진구 동일로 88 (자양동),완전폐쇄형
광진구,서광당구장,"서울특별시 광진구 뚝섬로 486, 2층 (자양동)",완전폐쇄형
광진구,한성 당구장,"서울특별시 광진구 뚝섬로 476, 2층 (자양동)",완전폐쇄형
광진구,아리랑 당구장,"서울특별시 광진구 동일로 78, 지하1층 (자양동)",완전폐쇄형
광진구,라운지당구장,"서울특별시 광진구 아차산로 236, 지하1층 (자양동)",완전폐쇄형
광진구,제다이 당구장,"서울특별시 광진구 아차산로51길 77, 지하1층 (구의동)",완전폐쇄형
광진구,아담당구장,"서울특별시 광진구 자양로18길 33, 지층 (구의동)",완전폐쇄형
광진구,건대 포켓볼 락큐,"서울특별시 광진구 아차산로30길 18, 2층 (자양동)",완전폐쇄형
광진구,킹콩당구장,"서울특별시 광진구 구의로 3, 지층 (구의동, 쌍용빌딩)",완전폐쇄형
광진구,에이스 당구클럽,"서울특별시 광진구 자양로22길 24, 2층 (구의동, 상우빌딩)",완전폐쇄형
광진구,글로벌 당구장,"서울특별시 광진구 자양번영로 29, 3층 (자양동)",완전폐쇄형
광진구,허리우드(8대),"서울특별시 광진구 자양번영로 33 (자양동, 성보빌딩)",완전폐쇄형
광진구,도깨비 당구장,"서울특별시 광진구 구의로 25, 지층 (구의동, 석천빌딩)",완전폐쇄형
광진구,킹스 빌리어즈 클럽,"서울특별시 광진구 아차산로 401, 3층 (구의동)",완전폐쇄형
광진구,프로당구클럽,"서울특별시 광진구 아차산로51길 39, 3층 (구의동)",완전폐쇄형
광진구,뉴메트로골프,"서울특별시 광진구 아차산로 373, 지하1층 (구의동)",완전폐쇄형
광진구,신성당구클럽,"서울특별시 광진구 자양로 49, 3층 (자양동)",완전폐쇄형
광진구,웰플러스,"서울특별시 광진구 자양로5길 33 (자양동, 와이엠프라젠스파)",완전폐쇄형
광진구,썬 당구장,"서울특별시 광진구 아차산로57길 4, 3층 (구의동)",완전폐쇄형
광진구,광진경찰서,광진구 자양로 167,완전폐쇄형
광진구,제우스PC,"서울특별시 광진구 뚝섬로24길 3, 지하층 (자양동)",완전폐쇄형
광진구,아이넷 폴리스,"서울특별시 광진구 아차산로51길 62, 2층 (구의동)",완전폐쇄형
광진구,세븐PC,"서울특별시 광진구 능동로37길 6, 지하1층 (중곡동)",완전폐쇄형
광진구,나인 PC방,"서울특별시 광진구 능동로 372, 지하1층 (중곡동)",완전폐쇄형
광진구,쇼타임 PC방 (중곡점),"서울특별시 광진구 용마산로 37, 지층 (중곡동, 이안빌딩)",완전폐쇄형
광진구,아센,"서울특별시 광진구 면목로 161 (중곡동,지하1층)",완전폐쇄형
광진구,티라미수,"서울특별시 광진구 면목로 164 (중곡동,2층)",완전폐쇄형
광진구,고릴라 세븐PC방 중곡점,"서울특별시 광진구 면목로 192 (중곡동,2층)",완전폐쇄형
광진구,아레나피씨,서울특별시 광진구 면목로 203 (중곡동),완전폐쇄형
광진구,1%PC아레나,"서울특별시 광진구 천호대로129길 29, 2층 (중곡동)",완전폐쇄형
광진구,오지구지리는PC방,"서울특별시 광진구 영화사로 62-1, 지하1층 (중곡동)",완전폐쇄형
광진구,비원 PC방,"서울특별시 광진구 군자로 43, 아스하임 지하1층 (화양동)",완전폐쇄형
광진구,G PRO PC&CAFE,"서울특별시 광진구 광나루로 382, 지하1,2층 (화양동, 아스하임)",완전폐쇄형
광진구,비원 건대2호점,"서울특별시 광진구 아차산로 241, 연한빌딩 b1층 (화양동)",완전폐쇄형
광진구,비원,"서울특별시 광진구 아차산로29길 41 (화양동,지하1층)",완전폐쇄형
광진구,넥스트PC카페,"서울특별시 광진구 광나루로 392, 지하1층 (화양동)",완전폐쇄형
광진구,e-sports center 건대점,"서울특별시 광진구 능동로 123, 3, 4층 (화양동)",완전폐쇄형
광진구,제노 PC ZONE,"서울특별시 광진구 능동로16길 60, 3층 (화양동)",완전폐쇄형
광진구,포포PC방 건대점,"서울특별시 광진구 아차산로 229 (화양동, 지하1층)",완전폐쇄형
광진구,놀숲 건대점,아차산로 224(자양동 7-25),완전폐쇄형
광진구,만화카페 라이브러리,아차산로 370(자양동 216-21),완전폐쇄형
광진구,루미너스PC방,"서울특별시 광진구 능동로 373, 3층 (중곡동)",완전폐쇄형
광진구,PC 마루,서울특별시 광진구 긴고랑로 52 (중곡동),완전폐쇄형
광진구,5번 출구 피씨방,"서울특별시 광진구 아차산로 244, 지하1층 (자양동)",완전폐쇄형
광진구,히트당구장,"서울특별시 광진구 아차산로 353-1, 3층 (자양동)",완전폐쇄형
광진구,엔탑피시방,"서울특별시 광진구 자양로22길 24 (구의동, 상우빌딩)",완전폐쇄형
광진구,PC슬롯게임장,"서울특별시 광진구 자양로18길 20, 2층 (구의동)",완전폐쇄형
광진구,TEN PC,"서울특별시 광진구 자양로 277, 지층 (구의동)",완전폐쇄형
광진구,제로백PC 아차산역점,"서울특별시 광진구 자양로 278, 대운빌딩 지하2층 (구의동)",완전폐쇄형
광진구,쓰리팝PC방,"서울특별시 광진구 광나루로 614 (구의동,지하1층)",완전폐쇄형
광진구,사이버리아 PC,"서울특별시 광진구 광나루로56길 29, 현대프라임아파트 4층 410, 411호 ",완전폐쇄형
광진구,리그 PC 카페,"서울특별시 광진구 구의로 4, 2층 (구의동)",완전폐쇄형
광진구,엔탑 PC방,"서울특별시 광진구 구의로 6, 신호빌딩 지하1층 (구의동)",완전폐쇄형
광진구,블랙PC,"서울특별시 광진구 아차산로 471, CS PLAZA 지하1층 (구의동)",완전폐쇄형
광진구,에코스PC방 구의점,"서울특별시 광진구 아차산로 377, 지하1층 (구의동)",완전폐쇄형
광진구,맥스피드PC 구의본점,"서울특별시 광진구 아차산로 473, 4층 (구의동)",완전폐쇄형
광진구,인터월드PC방,"서울특별시 광진구 군자로 144, 지층 (군자동)",완전폐쇄형
광진구,엔탑PC방,"서울특별시 광진구 능동로 290 (능동, 삼일빌딩)",완전폐쇄형
광진구,군자역 리그 PC,"서울특별시 광진구 천호대로 562, 쥬얼테크 지하1층 (능동)",완전폐쇄형
광진구,맵스 PC방,"서울특별시 광진구 뚝섬로 613, 우양빌딩 지하1층 (자양동)",완전폐쇄형
광진구,제닉스 아레나 PC,서울특별시 광진구 자양로13길 99 (자양동),완전폐쇄형
광진구,비원PC,서울특별시 광진구 자양로15길 18 (자양동),완전폐쇄형
광진구,피에스타PC방,"서울특별시 광진구 자양번영로 20 (자양동,자양빌딩 2층)",완전폐쇄형
광진구,쓰리팝PC방,"서울특별시 광진구 아차산로 288, 지층 (자양동, 대흥빌딩)",완전폐쇄형
광진구,피씨앤쿡,서울특별시 광진구 뚝섬로 503 (자양동),완전폐쇄형
광진구,엔탑 PC방,"서울특별시 광진구 군자로 141, 2층 (군자동)",완전폐쇄형
광진구,OK스크린골프,"서울특별시 광진구 아차산로 353 (자양동, 금강태극빌)",완전폐쇄형
광진구,킹 당구장,"서울특별시 광진구 광나루로 354, 지층 (화양동)",완전폐쇄형
광진구,은 당구클럽,"서울특별시 광진구 아차산로76길 5, 지하1층 (광장동)",완전폐쇄형
광진구,시골청년맥주,서울특별시 광진구 자양로18길 11 (구의동),완전폐쇄형
광진구,올레,"서울특별시 광진구 자양로18길 53, 2층 (구의동)",완전폐쇄형
광진구,콴차이,"서울특별시 광진구 자양로18길 17, 2층 (구의동)",완전폐쇄형
광진구,탐앤탐스블랙그레이트점 앤 와인탐탐,"서울특별시 광진구 아차산로 426, 1,2,3,4층 (구의동)",완전폐쇄형
광진구,꽃빙,"서울특별시 광진구 강변역로 50, 동서울종합터미널 2층 (구의동)",완전폐쇄형
광진구,태평양수산회세꼬시,서울특별시 광진구 군자로 183 (군자동),완전폐쇄형
광진구,돌체,"서울특별시 광진구 능동로35길 24 (군자동,지하1층)",완전폐쇄형
광진구,투썸플레이스 군자역점,"서울특별시 광진구 능동로 289 (군자동,(1층))",완전폐쇄형
광진구,코마찌,"서울특별시 광진구 아차산로76길 19 (광장동,(3층))",완전폐쇄형
광진구,신양,"서울특별시 광진구 능동로 31, 지하1층 (자양동)",완전폐쇄형
광진구,돈돈구이 이층집,"서울특별시 광진구 뚝섬로 621, 2층 (자양동)",완전폐쇄형
광진구,카페오로시,"서울특별시 광진구 자양로 131, 지층,1층층 (자양동)",완전폐쇄형
광진구,다트프린스건대점,"서울특별시 광진구 아차산로 242, 2층 (자양동)",완전폐쇄형
광진구,이디야,"서울특별시 광진구 아차산로30길 8, 2층 (자양동)",완전폐쇄형
광진구,탐앤탐스탐스커버리건대점,"서울특별시 광진구 아차산로 236, 1층,2층,3층,4층 (자양동)",완전폐쇄형
광진구,다원,"서울특별시 광진구 능동로 391, 지층 (중곡동)",완전폐쇄형
광진구,기찬아구찜,서울특별시 광진구 면목로 140 (중곡동),완전폐쇄형
광진구,광나루 당구장,"서울특별시 광진구 아차산로73길 28, 지하1층 (광장동, 대광빌딩)",완전폐쇄형
광진구,고기원칙구의역점,"서울특별시 광진구 아차산로 384, 태양빌딩 1층 (자양동)",완전폐쇄형
광진구,명월관,서울특별시 광진구 워커힐로 177 (광장동),완전폐쇄형
광진구,강변스파랜드 25시 불가마,서울특별시 광진구 구의강변로 46 (구의동),완전폐쇄형
광진구,강변스파랜드 24시 불가마,서울특별시 광진구 구의강변로 45 (구의동),완전폐쇄형
광진구,광진경찰서,광진구 자양로 167,완전폐쇄형
광진구,아차산배수지체육공원,천호대로 731,완전폐쇄형
광진구,건국대학교,16 새천년관 지하2층 출입문 옆,완전폐쇄형
광진구,건국대학교,21 공학관 중앙정원,완전폐쇄형
광진구,건국대학교,22 신공학관 앞,완전폐쇄형
광진구,건국대학교,23 과학관 북측,완전폐쇄형
광진구,건국대학교새천년관 대공연장,능동로 120,완전폐쇄형
광진구,세종대학교 학생회관 대공연장,능동로 209,완전폐쇄형
광진구,SK 네트웍스 (주) 워커힐,서울특별시 광진구 워커힐로 178 ,완전폐쇄형
광진구,서울특별시 광진구 능동로 90 ,-,완전폐쇄형
광진구,호텔더디자이너스건대,서울특별시 광진구 천호대로 521,완전폐쇄형
광진구,호텔컬리넌건대2,서울특별시 광진구 동일로 214 ,완전폐쇄형
광진구,매일온천탕,서울특별시 광진구 자양로53길 109 (중곡동),완전폐쇄형
광진구,실로암 목욕장,"서울특별시 광진구 용마산로 171, 지하1~지상2층 (중곡동)",완전폐쇄형
광진구,실로암 목욕장,"서울특별시 광진구 용마산로 171, 지하1~지상3층 (중곡동)",완전폐쇄형
광진구,프라임 노다지 사우나,"서울특별시 광진구 광나루로56길 63, 지층 (구의동, 프라임프라자상가)",완전폐쇄형
광진구,프라임 노다지 사우나,"서울특별시 광진구 광나루로56길 64, 지층 (구의동, 프라임프라자상가)",완전폐쇄형
광진구,한빛대중사우나,"서울특별시 광진구 용마산로 44, 지하1층 (중곡동)",완전폐쇄형
광진구,칠산레져대중사우나,서울특별시 광진구 자양로 135 (자양동),완전폐쇄형
광진구,꿈꾸다917,"서울특별시 광진구 아차산로31길 15, 1~2층 (화양동)",완전폐쇄형
광진구,커피마켓,"서울특별시 광진구 아차산로33길 60 (화양동,지상1,2,3층)",완전폐쇄형
광진구,카페온더플랜건대점,"서울특별시 광진구 능동로 161, 1-2층 (화양동)",완전폐쇄형
광진구,탐앤탐스(건대),"서울특별시 광진구 동일로22길 115 (화양동,외 92호(2층))",완전폐쇄형
광진구,누비 포켓 클럽,"서울특별시 광진구 천호대로 591, 지하 1층 (중곡동)",완전폐쇄형
광진구,카페베네건대2호점,"서울특별시 광진구 아차산로 207 (화양동,1층)",완전폐쇄형
광진구,브라보 캐롬클럽 군자,"서울특별시 광진구 능동로 314, 공영빌딩 지하1층 (중곡동)",완전폐쇄형
광진구,스마일 당구장,"서울특별시 광진구 천호대로109길 10, 2층 (중곡동)",완전폐쇄형
광진구,이글스크린골프,"서울특별시 광진구 면목로 161, 5층 (중곡동, 중곡빌딩)",완전폐쇄형
광진구,제이디 골프 연습장,서울특별시 광진구 면목로 192 (중곡동),완전폐쇄형
광진구,중곡당구장,"서울특별시 광진구 면목로 141, 지하1층 (중곡동)",완전폐쇄형
광진구,드림당구장,"서울특별시 광진구 면목로 161, 3층 (중곡동, 중곡빌딩)",완전폐쇄형
광진구,중곡스크린골프,"서울특별시 광진구 능동로 409, 지1층 (중곡동)",완전폐쇄형
광진구,신성 스크린 골프,"서울특별시 광진구 용마산로 18, 지하1층 (중곡동)",완전폐쇄형
광진구,세븐당구클럽(7대),"서울특별시 광진구 용마산로 44, 3층 (중곡동)",완전폐쇄형
광진구,오렌지 당구장,"서울특별시 광진구 영화사로 10, 2층 (중곡동)",완전폐쇄형
광진구,핑당구클럽,"서울특별시 광진구 천호대로129길 29, 3층 (중곡동)",완전폐쇄형
광진구,비바체 당구장,"서울특별시 광진구 영화사로 32, 2층 (중곡동, 덕흥빌딩)",완전폐쇄형
광진구,에이스 당구클럽,"서울특별시 광진구 용마산로 66, 2층 (중곡동)",완전폐쇄형
광진구,싱글골프연습장,"서울특별시 광진구 능동로34길 27, 지하1층 (능동, 원진빌딩)",완전폐쇄형
광진구,SBS당구장,"서울특별시 광진구 천호대로112길 7, 2층 (능동)",완전폐쇄형
광진구,프로 당구장,"서울특별시 광진구 능동로36길 30, 2층 2호 (능동)",완전폐쇄형
광진구,그린 당구장,"서울특별시 광진구 천호대로112길 19, 2층 (능동)",완전폐쇄형
광진구,제우스 당구장,"서울특별시 광진구 능동로 378, 지층 (중곡동)",완전폐쇄형
광진구,준당구장,"서울특별시 광진구 능동로 340, 지층 (중곡동)",완전폐쇄형
광진구,용마당구장,"서울특별시 광진구 긴고랑로 57, 지하층 (중곡동)",완전폐쇄형
광진구,공원스크린골프,"서울특별시 광진구 천호대로 553, 지하1층 (중곡동, 중곡빌딩)",완전폐쇄형
광진구,탐앤탐스 광진화양점,"서울특별시 광진구 능동로13길 26, 1~4층 (화양동)",완전폐쇄형
광진구,새로난당구장,"서울특별시 광진구 광나루로24길 37, 지층, 1층 (화양동)",완전폐쇄형
광진구,블루오션당구장(16대),"서울특별시 광진구 능동로13길 39, 지층 (화양동, 한아름건물)",완전폐쇄형
광진구,VIP당구장,서울특별시 광진구 군자로 52 (화양동),완전폐쇄형
광진구,마이큐당구장,"서울특별시 광진구 동일로22길 64, 3층 (화양동)",완전폐쇄형
광진구,플라밍고당구장,"서울특별시 광진구 아차산로 235, 5층 (화양동)",완전폐쇄형
광진구,큐당구장,서울특별시 광진구 아차산로33길 63 (화양동),완전폐쇄형
광진구,NK 골프클럽,서울특별시 광진구 용마산로 21 (중곡동),완전폐쇄형
광진구,스포츠 당구장,"서울특별시 광진구 동일로 112, 지하1층 (화양동)",완전폐쇄형
광진구,아차산배수지공원,천호대로731,완전폐쇄형
광진구,삼진스트라이크존 (야구종목),"서울특별시 광진구 능동로13길 39, 한아름건물 2층 (화양동)",완전폐쇄형
광진구,우리당구장,"서울특별시 광진구 동일로 222, 글터빌딩 지하층 (군자동)",완전폐쇄형
광진구,한큐당구장,"서울특별시 광진구 천호대로 528, 지층 (군자동)",완전폐쇄형
광진구,로얄당구장,"서울특별시 광진구 광나루로 379, 1층 (군자동)",완전폐쇄형
광진구,보스당구장,"서울특별시 광진구 군자로 180, 201호 (군자동, 한창빌딩)",완전폐쇄형
광진구,공원당구장,"서울특별시 광진구 광나루로 404, 지층 (화양동)",완전폐쇄형
광진구,퓨전당구장,서울특별시 광진구 군자로 141 (군자동),완전폐쇄형
광진구,세종스크린골프,"서울특별시 광진구 군자로 70, 2층 (군자동, 동일흥업주식회사)",완전폐쇄형
광진구,SG  스크린 골프존,"서울특별시 광진구 천호대로 512 (군자동, 군자빌딩)",완전폐쇄형
광진구,양지당구장,"서울특별시 광진구 군자로 145, 2층 (군자동)",완전폐쇄형
광진구,건국대학교,5 예술문화관 뒤,완전폐쇄형 
광진구,건국대학교,2 경영관 뒤,완전폐쇄형 
광진구,동서울터미널 앞 전면보도,강변역로50,폐쇄형
광진구,커먼그라운드,아차산로 200  (자양동)(지하1~지상4),폐쇄형
광진구,커먼그라운드,아차산로 200  (자양동)(지하1~지상5),폐쇄형
광진구,SK 네트웍스 (주) 워커힐,서울특별시 광진구 워커힐로 177 ,폐쇄형
광진구,커먼그라운드,아차산로 200  (자양동)(지하1~지상6),폐쇄형
